Nome,Sigla,Data,Dia_semana,Max_Dia,Min_Dia,Valor_abertura,Valor_fechamento,Volume_negociacao,Valor_Mercado
Litecoin,LTC,26/09/2017,Terça-feira,53.70249938964844,51.07699966430664,51.68790054321289,51.54679870605469,173663008.0,2737818455.1
Litecoin,LTC,27/09/2017,Quarta-feira,56.54059982299805,51.57619857788086,51.57619857788086,56.28310012817383,220363008.0,2990132969.53
Litecoin,LTC,28/09/2017,Quinta-feira,56.67129898071289,53.40810012817383,56.21220016479492,54.08520126342773,202008992.0,2874185280.07
Litecoin,LTC,29/09/2017,Sexta-feira,54.1599006652832,50.41880035400391,54.10929870605469,52.62300109863281,186560000.0,2797277252.21
Litecoin,LTC,30/09/2017,Sábado,55.234500885009766,52.61909866333008,52.62649917602539,55.14239883422852,131446000.0,2932074834.66
Litecoin,LTC,01/10/2017,Domingo,55.161598205566406,53.62519836425781,55.13619995117188,54.54330062866211,100183000.0,2901076714.14
Litecoin,LTC,02/10/2017,Segunda-feira,54.7848014831543,53.257999420166016,54.54690170288086,53.3759994506836,95474600.0,2839774396.68
Litecoin,LTC,03/10/2017,Terça-feira,53.59299850463867,51.58660125732422,53.39039993286133,52.34960174560547,88516096.0,2785938781.24
Litecoin,LTC,04/10/2017,Quarta-feira,53.04610061645508,50.83039855957031,52.2843017578125,51.39950180053711,77473400.0,2736160242.31
Litecoin,LTC,05/10/2017,Quinta-feira,51.865501403808594,50.44049835205078,51.40140151977539,51.66949844360352,69594400.0,2751241080.45
Litecoin,LTC,06/10/2017,Sexta-feira,52.60309982299805,51.53049850463867,51.63600158691406,52.12009811401367,59355900.0,2775993787.37
Litecoin,LTC,07/10/2017,Sábado,52.74980163574219,51.63619995117188,52.13750076293945,52.58399963378906,51786200.0,2801457684.04
Litecoin,LTC,08/10/2017,Domingo,54.50510025024414,52.25699996948242,52.493499755859375,53.1426010131836,100841000.0,2832001431.32
Litecoin,LTC,09/10/2017,Segunda-feira,53.38819885253906,48.47249984741211,53.08250045776367,50.16400146484375,152366000.0,2673983611.1
Litecoin,LTC,10/10/2017,Terça-feira,51.67129898071289,49.8572998046875,50.15420150756836,50.717098236083984,90415504.0,2704130907.9
Litecoin,LTC,11/10/2017,Quarta-feira,51.13639831542969,50.31650161743164,50.753299713134766,50.88750076293945,57390100.0,2713909625.76
Litecoin,LTC,12/10/2017,Quinta-feira,60.10760116577149,50.87149810791016,50.88669967651367,60.10760116577149,341368992.0,3206464408.15
Litecoin,LTC,13/10/2017,Sexta-feira,60.961700439453125,55.84090042114258,60.55189895629883,59.42890167236328,357124000.0,3171116142.05
Litecoin,LTC,14/10/2017,Sábado,66.19300079345703,58.60089874267578,59.40560150146485,63.95019912719727,313105984.0,3413379167.8
